price_czk,district,size_m2,room_count,has_separate_kitchen,floor_number,total_floors,building_type,condition,ownership,furnished,elevator,has_balcony,has_terrace,has_cellar,has_parking
19000,Praha 5,25,1,False,1,4.0,Cihlová,Velmi dobrý,Osobní,Unknown,Yes,True,False,True,False
22000,Praha 2,50,2,False,7,7.0,Cihlová,Velmi dobrý,Osobní,Partially,Unknown,False,False,True,False
21900,Praha 7,40,2,False,6,,Cihlová,Po rekonstrukci,Osobní,Yes,Yes,False,False,True,False
28000,Praha 7,54,2,False,4,6.0,Cihlová,Po rekonstrukci,Osobní,Unknown,Yes,True,False,True,False
26900,Praha 5,43,2,False,7,7.0,Cihlová,Novostavba,Osobní,Yes,Yes,False,False,True,True
22000,Praha 4,64,3,False,7,8.0,Panelová,Velmi dobrý,Osobní,Partially,Yes,False,False,True,False
17000,Praha 6,43,2,False,1,12.0,Panelová,Velmi dobrý,Osobní,Partially,Yes,False,False,False,False
28000,Praha 10,74,4,True,1,,Cihlová,Dobrý,Družstevní,No,No,False,False,True,True
19950,Praha 6,50,2,False,3,,Cihlová,Po rekonstrukci,Osobní,Unknown,Yes,False,False,True,False
19000,Praha 6,33,1,False,2,,Cihlová,Novostavba,Osobní,Unknown,Yes,True,False,True,False
32500,Praha 4,56,2,False,2,6.0,Cihlová,Novostavba,Osobní,No,Yes,False,True,True,True
32500,Praha 4,51,2,False,2,6.0,Cihlová,Novostavba,Osobní,No,Yes,False,True,True,True
34000,Praha 8,63,2,False,1,5.0,Smíšená,Novostavba,Osobní,Yes,Yes,False,False,False,False
26000,Praha 5,44,2,False,5,5.0,Smíšená,Velmi dobrý,Osobní,Unknown,Yes,False,True,False,False
24000,Praha 10,60,3,True,4,4.0,Cihlová,Velmi dobrý,Osobní,Yes,No,False,False,True,True
15000,Praha 5,35,1,False,1,,Cihlová,Novostavba,Osobní,Unknown,Unknown,False,False,True,False
20500,Praha 3,51,2,True,3,6.0,Cihlová,Velmi dobrý,Osobní,No,Yes,True,False,False,False
21900,Praha 7,40,2,False,6,8.0,Cihlová,Velmi dobrý,Osobní,No,Yes,False,False,False,False
24000,Praha 10,74,4,True,4,4.0,Smíšená,Velmi dobrý,Osobní,Unknown,Unknown,False,False,False,False
20000,Praha 4,40,2,False,1,,Panelová,Velmi dobrý,Osobní,Partially,Unknown,False,False,True,False
20000,Praha 4,53,2,False,1,,Panelová,Velmi dobrý,Osobní,Unknown,Unknown,False,False,True,False
19500,Praha 10,42,1,False,2,,Smíšená,Velmi dobrý,Osobní,Unknown,Unknown,False,False,True,False
24500,Praha 9,49,2,False,1,,Smíšená,Velmi dobrý,Osobní,Unknown,Unknown,False,False,False,False
22000,Praha 5,55,2,False,2,1.0,Cihlová,Velmi dobrý,Osobní,Yes,Unknown,False,False,False,False
25000,Praha 4,65,3,True,1,5.0,Cihlová,Po rekonstrukci,Osobní,Unknown,No,False,False,False,False
70000,Praha 2,120,5,True,4,5.0,Cihlová,Velmi dobrý,Osobní,Partially,Yes,True,False,False,False
16600,Praha 4,36,1,False,2,3.0,Cihlová,Velmi dobrý,Osobní,Yes,Yes,False,False,False,False
33000,Praha 10,81,4,True,6,6.0,Cihlová,Velmi dobrý,Osobní,Partially,Unknown,False,False,False,False
18500,Praha 4,30,1,False,2,4.0,Cihlová,Po rekonstrukci,Osobní,No,No,False,False,False,True
59728,Praha 5,71,2,False,2,7.0,Smíšená,Novostavba,Osobní,Yes,Yes,False,True,False,False
21000,Praha 3,48,2,False,5,6.0,Cihlová,Velmi dobrý,Osobní,Partially,Unknown,False,False,False,False
17500,Praha 9,26,1,False,4,4.0,Cihlová,Po rekonstrukci,Osobní,Yes,No,False,False,False,False
59728,Praha 5,60,2,False,5,7.0,Smíšená,Novostavba,Osobní,Yes,Yes,True,True,False,False
29000,Praha 10,79,3,False,3,,Cihlová,Velmi dobrý,Osobní,Yes,Yes,True,False,False,False
18000,Praha 9,70,1,False,2,8.0,Cihlová,Velmi dobrý,Osobní,Yes,Yes,True,False,False,True
53328,Praha 5,71,2,False,5,6.0,Smíšená,Novostavba,Osobní,Yes,Yes,False,True,True,True
28000,Praha 2,61,2,False,3,,Smíšená,Po rekonstrukci,Osobní,No,Yes,True,False,False,False
24000,Praha 2,41,2,False,4,,Smíšená,Po rekonstrukci,Osobní,No,Yes,False,False,True,False
38500,Praha 1,94,2,False,2,,Cihlová,Po rekonstrukci,Osobní,No,Yes,False,False,False,False
27500,Praha 1,39,2,False,6,,Smíšená,Velmi dobrý,Osobní,Partially,Yes,False,False,False,False
25800,Praha 3,50,2,False,4,,Cihlová,Velmi dobrý,Osobní,No,Yes,False,False,False,False
72000,Praha 1,156,4,False,4,,Smíšená,Velmi dobrý,Osobní,Partially,Yes,False,False,False,False
24000,Praha 4,73,2,False,1,5.0,Cihlová,Velmi dobrý,Osobní,Unknown,Unknown,False,False,False,False
14590,Praha 4,23,1,False,2,8.0,Panelová,Po rekonstrukci,Osobní,Unknown,Yes,False,True,True,False
16500,Praha 4,38,1,False,2,7.0,Skeletová,Novostavba,Osobní,No,Yes,True,False,True,False
16000,Praha 3,43,2,False,2,6.0,Cihlová,Velmi dobrý,Družstevní,Unknown,Yes,False,False,False,False
23000,Praha 10,57,2,False,2,3.0,Cihlová,Novostavba,Osobní,Yes,Unknown,True,False,False,False
22000,Praha 3,44,2,False,5,8.0,Panelová,Po rekonstrukci,Družstevní,No,Unknown,False,False,True,False
24500,Praha 9,54,3,True,11,14.0,Panelová,Velmi dobrý,Osobní,Partially,Yes,True,False,False,False
79000,Praha 1,170,5,True,3,4.0,Smíšená,Velmi dobrý,Osobní,No,Yes,True,True,False,False
14500,Praha 4,18,1,False,2,3.0,Cihlová,Velmi dobrý,Osobní,Yes,Unknown,False,False,False,False
16000,Praha 4,32,1,False,3,7.0,Cihlová,Velmi dobrý,Osobní,No,Yes,False,False,True,False
